No,Kalimat,Deskripsi Topik,Detail Topik,Sentimen,Skor Sentimen
836,Good Job,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.999
837,lambat padahal dari kantor pos mah cepet,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.921
838,tertahan di kantor samsatnya terlalu lama,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Negatif,0.8
839,lumayan lama juga ya pengiriman nya ngga tau nyangkut dimana dulu tapi Alhamdulillah udah nyampe,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Negatif,0.943
840,Sangat baik,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.877
841,hallo aku abis ngubah nama kendaraan tapi ga bisa masuk ke app signal nya dan masih tertera pemilik lama cara ngubah ke pemilik baru nya gimana ya ngaruh ga ya pas bayar pajak mohon di bantu jawab min terimakasih,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Negatif,0.559
842,terpercaya dan membantu untuk perpanjangan kondisi kita jauh di luar kota .terimakasih untuk signal,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.999
843,cepat dan aman,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.973
844,seneng banget ngurus pajak cepet tanpa ngantri,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.996
845,bayar pajak lewat aplikasi bulan ga d kirim dokumen,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.912
846,sudah konplen lewat chat lewat email gtu aja berbelit,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Negatif,0.811
847,klo blm siap pake aplikasi ngapain d afain aplikasi kaya gini,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.965
848,bikin pusing aja,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Negatif,0.949
849,muanteeep banget,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.738
850,proses dan pengiriman lama meskipun masih dalam satu kota,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.64
851,bagus sekali dan sangat membantu thanks,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.999
852,Sangat mudah cepat tidak perlu ribet antre,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.998
853,sangat membantu bagi yg tinggal di perantauan,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Positif,0.99
854,sat set,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.992
855,aku kasi dulu jika di daerah kami Ter daftar juga dan bisa di oprasikan ku kasi nintang,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.691
856,saya bayar pengantaran ekspres tapi baru sampai minggu kemudian,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.942
857,stnk saya tidak dikirim,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.89
858,mempermudah untuk pembayaran pajak walaupun di luar daerah dan terhindar dari pungli,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.982
859,sangat baik dan sangat membantu untuk kita yang malas ngurus ngurus kekantor,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.93
860,mohon dibantu aplikasi tdk bisa melakukan klik pilih Samsat dan jenis pengiriman,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Negatif,0.793
861,terimakasih sangat mudah dan cepat,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.998
862,sudah mingg pembayaran tapi stnk tidak dikirim,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.928
863,berguna dan berhasil kirim ke rumah,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.468
864,aplikasi lumayan membantu tapi masih banyak yang harus di perbaiki dari aplikasi ini,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.882
865,kepada deplover pembuat aplikasi tolong di perbaiki lagi ini,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Netral,0.83
866,untuk masukan data baru ga bisa,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Netral,0.604
867,Good,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.983
868,garcep,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.659
869,NGESELIN BNGT SIH FACE RECOGNITION NYA,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.986
870,YG BIKIN BLOON APA GMNA,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Negatif,0.968
871,sangat membantu sekali sudah beberapa kali saya menggunakan Aplikasi ini Good Job,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Positif,0.993
872,sangat membantu untuk melakukan pembayaran pajak kendaraan tapi khusus untuk atas nama sendiri,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.872
873,keren g hrus antri dan bsa dimna saja tinggl tunggu dirmh stnk jdi,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.999
874,layanan samsat cianjur lambat udah minggu STNK saya gak di kirim,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.998
875,mempermudah,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.883
876,aplikasi yg sangat membantu layanan pengaduannya pun fast respon,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.899
877,Lama sampainya,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.546
878,cara pembayarannya tidak muncul loadingnya lama sampe batas waktu pembayaran habis belum bisa bayar karena masih loading,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.974
879,pengesahan STNK tidak berhasil terus,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.84
880,melayani sepenuh hati,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.856
881,mempermudahkan bayar,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.858
882,mantep mudah gercep aman,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.999
883,mending tutup aplikasi nya,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.941
884,eror mulu,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.997
885,pelayanan lambat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Negatif,0.927
886,kirain bayar dengan metode online lebih efektif tau nya malah makin parah dan menjadi jadi,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Netral,0.427
887,ada ongkir tapi lemot banget gak dikirim kirim bug dimana mana user test dulu kalo mau di up ke public gak asal asalan bikin aplikasi,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.999
888,mantap signal samsat digital POLRI sangat membantu dan mempermudah taat pajak kendaraan,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,1.0
889,knpa app nya tidak bisa digunakan untuk mendaftarkan pengesahan STNK,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.993
890,Aplikasi ini memberikan solusi efektif bagi masyarakat dengan mobilitas tinggi khususnya yang bekerja di luar kota,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.695
891,Melalui layanan pembayaran pajak kendaraan yang cepat dan aman proses administrasi menjadi lebih efisien tanpa mengganggu aktivitas sehari hari,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.989
892,sangat bagus sangat membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.989
893,Pelayanan memuaskan,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.981
894,sangat membantu aplikasi signal untuk pembayaran pajak yang mudah,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.991
895,mantaps sangat membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.993
896,cepet selesai,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.967
897,proses mudah dan pengirimannya pun cepat,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.97
898,aplikasi gk jelas tinggal bayar tp gagal mulu,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.996
899,kalau bisa perpanjang pajak tahunan sklian tks,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Netral,0.687
900,Manado nggk masuk daftar wil pembayaran pajak online,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.9
901,pembayaran sudah tinggal nunggu pengiriman sudah hari stnk tidak di kirim pengaduan juga ga membantu respon lambat,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.973
902,Nggak berguna nggak bisa lihat kode bayar,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Netral,0.482
903,Baik sangat memuaskan,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.59
904,dan puas dengan pelayanannya,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.992
905,update lagi hari sabtu jam siang transaksi dan sukses progres,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.615
906,status pra colecting,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.991
907,dan sampai hari ini sabtu harian statusnya masih pra colecting,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.998
908,saya ga tau kendalanya di samsat atau di pt pos Indonesia,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.9
909,tolong diperbaiki sistemnya,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Netral,0.946
910,olshop aja luar provinsi hari bisa sampe kok,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Negatif,0.84
911,kita bisa bayar pajak dari rumah proses cepat signal keren,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.985
912,tidak memberikan solusi sudah bayar tapi belum terbit stnk pengesahan uang hangus bgtu aja,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.99
913,niat hati ingin taat bayar pajak tapi pembayaran via bank gagal terus sudah coba pakai mandiri dan BRI tetap gagal,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.993
914,mau Ndak mau akhirnya langsung ke Samsat,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Negatif,0.965
915,sudah berpuluh kali coba namun tetap gak bisa pilih jenis pengiriman,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.566
916,buruk bgt masa stnk fisik ga dikirim udh lewat berbulan bulan,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.999
917,giliran ke samsat katanya blm bayar pdhl di apk udh bayar,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.974
918,pelayanan yg sangat oke bayar pajak kendaraan tingal tunggu di rumah berkas sampai terimakasih signal,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.997
919,jos sangat memudahkan untuk bayar pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.984
920,polisi kerjanya ngapain sihh ini hari senin lohh pas chat live malah agent kami tidak berada di tempat semua terus gunanya aplikasi ini apaa,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Negatif,0.995
921,Ga pake ribet antri di loket,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.991
922,Sat set,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.992
923,jadi deh,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.706
924,bagus respon transaksi cepat,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Positif,0.992
925,stnk punya saya sudah sampai,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.705
926,dari samsat kota medan ke jawa timur kab kediri sangat memudahkan masyarat sekali,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.973
927,mempermudah kami tanpa harus datang offline,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Positif,0.563
928,sangat dimudahkan perhatikan jam jam buat transfer supaya cepat masuk transfernya .makasih pak pol,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Netral,0.77
929,Mantab makin cepat,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.998
930,aplikasi lemot buat vermuk aja susah,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Negatif,0.996
931,ketika klik cara pembayaran malah muter muter ga jelas,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Negatif,0.998
932,di Jak one ada menu signal tapi enggak bisa melulu,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Negatif,0.632
933,saran untuk yg tahunan sebaiknya dapat menggunakan aplikasi signal selama tidak ganti kepemilikan,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Netral,0.991
934,sangat membantu untuk yang tidak bisa datang langsung ke samsat,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.913
935,baru pertama kali bayar pajak motor via signal tapi dibuat kecewaaaa terhitung hari dari melakukan pembayaran keterangan berhasil tapi belum dikirim juga ada aplikasi pengaduan tapi tidak bisa live tlp,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.496
936,cukup puas,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.93
937,Mohon maaf untuk saat ini agent kami sedang tidak berada di tempat semua mohon menunggu untuk dan coba hubungi beberapa saat lagi,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Netral,0.799
938,TOLONG LAH LEBIH RESPONSIF UNTUK LIVE CHAT DAN KAMI BUTUH JAWABAN SAAT ADA KENDALA,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Negatif,0.97
939,cepat praktis,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.997
940,OK cepet juga,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.799
941,biaya biaya tambahannya makin mahal seharusnya free tanpa biaya tambahan kecuali ongkir apalagi klw free ongkir itu akan lbh banyak lagi peminatnya,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.996
942,layanan cepat dan aman pastinya memudahkan kita,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.999
943,mantabzzz jadi lebih mudah bayar pajak motor ga pake ribet,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.993
944,cukup mudah pemakaian aplikasinya,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.699
945,dan cepat pengiriman,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.574
946,ko STNK saya blum nyampe tapi di apk signal sudah diterima,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.719
947,sangat membantu sekali aplikasi ini,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.792
948,Pelayanan sekitar minggu,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Negatif,0.764
949,mantap memudahkan orang yg lagi merantau ga,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Positif,0.998
950,masih perlu diperbaiki lagi mulai dari no BPKB kode lokasi tidak tercetak,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Netral,0.931
951,Mantaaaaaaappppppp,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.593
952,mantab cepat banget selesainya sangat dipermudah sekali,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,1.0
953,kenapa tidak bisa bayar pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Netral,0.492
954,tidak bisa pengesahan,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.635
955,kalau bisa untuk pengiriman di percepat masak hari baru sampai,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.527
956,awalnya tahun sebelumnya bagus kesini kaya to kai giliran mau bayar dibank manapun g ada menu pembayaran pembayaran signal samsat mempersulit aja jadi pajak pada mati lol,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.819
957,sangat membantu buat org yg mageran,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Positif,0.779
958,pokoknya signal jos sangat membantu sekali simpel ga ribet nunggu antrian time is monay,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,1.0
959,sangat membantu untuk perpanjang pajak kendaraan cuma agak lama aja sekitar hari baru keterima dokumennya,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.961
960,semoga kedepannya makin cepat,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Netral,0.922
961,terima kasih polri dan Polda Jawa barat saya senang bgt bayar pajak motor bisa online jd gak perlu datangt ke Samsat,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.99
962,mantap sukses slalu pembayaran pajak untuk negri,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.998
963,pelayanannya cepet,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.983
964,mantap mempermudah bayar pajak tahunan gak ribet nunggu di rmh aja,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.998
965,layanan cepat sangat membantu,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.998
966,Proses mudah dan Cepat,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.988
967,ini saya mau pembayaran pajak saja susahnya sampai kali transaksi delay tolong di update lagi aplikasinya,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.983
968,pelayananny bagus,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.951
